# nread -> total number of read pairs read from the FASTQ files.
nread 16895945
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 203915
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 408312
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 47468
# nattempted -> number of read pairs we attempted to align
nattempted 16283718
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 15720035
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 15711702
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 15602863
