# nread -> total number of read pairs read from the FASTQ files.
nread 23932071
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 556890
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1110091
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 40359
# nattempted -> number of read pairs we attempted to align
nattempted 22265090
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 21386451
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 20898245
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 20780254
