# nread -> total number of read pairs read from the FASTQ files.
nread 24463488
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 604374
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1196827
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 19218
# nattempted -> number of read pairs we attempted to align
nattempted 22662287
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 21472918
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 21029008
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 20902060
