# nread -> total number of read pairs read from the FASTQ files.
nread 35611692
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 541567
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 675217
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 25015
# nattempted -> number of read pairs we attempted to align
nattempted 34394908
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 24623568
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 24599445
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 24593328
