#SAMPLE	FRAC_synonymous	FRAC_nonsynonymous	FRAC_stop codon
\#1 DNA	0.00015706	0.00044063	3.4245E-05
\#2 DNA	0.0001767	0.00049387	3.8475E-05
\#3 DNA	0.00017419	0.0004841	3.627E-05
\#1 repeat DNA	0.00016458	0.00046426	3.6891E-05
\#1 mutDNA	0.00068935	0.0065038	0.00049308
\#2 mutDNA	0.00070613	0.0077057	0.00056041
\#3 mutDNA	0.00065127	0.0063431	0.00046388
\#1 repeat mutDNA	0.00069514	0.0064005	0.0004861
\#1 virus	0.00024152	0.00065519	5.3032E-05
\#2 virus	0.00026668	0.00072426	5.974E-05
\#3 virus	0.0002595	0.00068786	5.5072E-05
\#1 repeat virus	0.00024896	0.00068759	5.7394E-05
\#1 mutvirus	0.00054407	0.0024248	9.9485E-05
\#2 mutvirus	0.00062521	0.0027869	9.4841E-05
\#3 mutvirus	0.00053757	0.0020034	7.3081E-05
\#1 repeat mutvirus	0.0005357	0.0023165	9.9388E-05
