# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 294 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.1735	1.0000	0.9592	0.2483
2	0.0578	1.0000	0.9218	0.0918
3	0.0340	0.9966	0.8980	0.0476
4	0.0204	0.9966	0.8673	0.0340
5	0.0170	0.9966	0.8503	0.0306
6	0.0170	0.9966	0.8367	0.0204
7	0.0170	0.9966	0.8129	0.0204
8	0.0170	0.9966	0.8061	0.0204
9	0.0170	0.9966	0.7755	0.0204
10	0.0170	0.9932	0.7483	0.0204
11	0.0170	0.9898	0.7313	0.0204
12	0.0136	0.9864	0.7143	0.0204
13	0.0136	0.9830	0.6973	0.0204
14	0.0102	0.9728	0.6735	0.0204
15	0.0102	0.9728	0.6633	0.0170
16	0.0102	0.9728	0.6497	0.0136
17	0.0102	0.9728	0.6429	0.0136
18	0.0102	0.9694	0.6327	0.0136
19	0.0102	0.9626	0.6327	0.0136
20	0.0102	0.9558	0.6224	0.0136
21	0.0102	0.9490	0.6088	0.0136
22	0.0102	0.9456	0.5952	0.0136
23	0.0102	0.9422	0.5884	0.0136
24	0.0102	0.9422	0.5748	0.0136
25	0.0102	0.9354	0.5714	0.0136
26	0.0102	0.9286	0.5714	0.0136
27	0.0102	0.9218	0.5646	0.0136
28	0.0102	0.9218	0.5612	0.0136
29	0.0102	0.9150	0.5476	0.0136
30	0.0102	0.9150	0.5374	0.0136
31	0.0102	0.9048	0.5340	0.0136
32	0.0068	0.8946	0.5340	0.0136
33	0.0068	0.8878	0.5306	0.0136
34	0.0068	0.8810	0.5272	0.0136
35	0.0068	0.8776	0.5102	0.0102
36	0.0068	0.8776	0.5034	0.0102
37	0.0068	0.8673	0.5000	0.0102
38	0.0068	0.8537	0.5000	0.0068
39	0.0068	0.8469	0.4932	0.0068
40	0.0068	0.8367	0.4864	0.0034
41	0.0068	0.8333	0.4864	0.0034
42	0.0068	0.8265	0.4864	0.0034
43	0.0068	0.8231	0.4830	0.0034
44	0.0068	0.8231	0.4762	0.0034
45	0.0068	0.8095	0.4694	0.0034
46	0.0068	0.8027	0.4626	0.0034
47	0.0068	0.7959	0.4524	0.0034
48	0.0034	0.7925	0.4490	0.0034
49	0.0034	0.7857	0.4422	0.0034
50	0.0034	0.7823	0.4354	0.0034
