# nread -> total number of read pairs read from the FASTQ files.
nread 23552013
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 282803
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1171611
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 38280
# nattempted -> number of read pairs we attempted to align
nattempted 22097599
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 20690143
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 20543291
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 20382377
