# nread -> total number of read pairs read from the FASTQ files.
nread 23282941
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 560072
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1100007
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 38208
# nattempted -> number of read pairs we attempted to align
nattempted 21622862
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 20791851
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 20353034
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 20236355
