# nread -> total number of read pairs read from the FASTQ files.
nread 22160551
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 540023
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1084802
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 36974
# nattempted -> number of read pairs we attempted to align
nattempted 20535726
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 19734920
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 19342735
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 19239190
