# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 294 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0680	0.9932	0.7109	0.0952
2	0.0238	0.9864	0.5850	0.0340
3	0.0102	0.9762	0.5204	0.0204
4	0.0102	0.9592	0.4558	0.0170
5	0.0102	0.9354	0.4354	0.0170
6	0.0102	0.9150	0.4116	0.0170
7	0.0034	0.9014	0.3980	0.0136
8	0.0034	0.8844	0.3673	0.0136
9	0.0034	0.8469	0.3469	0.0102
10	0.0034	0.8197	0.3231	0.0068
11	0.0034	0.7755	0.3027	0.0068
12	0.0034	0.7551	0.2857	0.0068
13	0.0034	0.7313	0.2687	0.0034
14	0.0034	0.7075	0.2585	0.0034
15	0.0034	0.6837	0.2449	0.0034
16	0.0034	0.6633	0.2381	0.0034
17	0.0034	0.6395	0.2211	0.0000
18	0.0000	0.6190	0.2211	0.0000
19	0.0000	0.5884	0.2211	0.0000
20	0.0000	0.5544	0.2075	0.0000
21	0.0000	0.5340	0.2041	0.0000
22	0.0000	0.5136	0.2041	0.0000
23	0.0000	0.4898	0.2041	0.0000
24	0.0000	0.4626	0.2007	0.0000
25	0.0000	0.4354	0.2007	0.0000
26	0.0000	0.4218	0.2007	0.0000
27	0.0000	0.4048	0.1973	0.0000
28	0.0000	0.3980	0.1905	0.0000
29	0.0000	0.3639	0.1905	0.0000
30	0.0000	0.3299	0.1871	0.0000
31	0.0000	0.3129	0.1871	0.0000
32	0.0000	0.2925	0.1837	0.0000
33	0.0000	0.2823	0.1837	0.0000
34	0.0000	0.2687	0.1735	0.0000
35	0.0000	0.2449	0.1701	0.0000
36	0.0000	0.2279	0.1701	0.0000
37	0.0000	0.2143	0.1667	0.0000
38	0.0000	0.2007	0.1667	0.0000
39	0.0000	0.2007	0.1633	0.0000
40	0.0000	0.1905	0.1633	0.0000
41	0.0000	0.1871	0.1599	0.0000
42	0.0000	0.1735	0.1565	0.0000
43	0.0000	0.1599	0.1531	0.0000
44	0.0000	0.1599	0.1429	0.0000
45	0.0000	0.1463	0.1429	0.0000
46	0.0000	0.1429	0.1429	0.0000
47	0.0000	0.1361	0.1395	0.0000
48	0.0000	0.1293	0.1327	0.0000
49	0.0000	0.1259	0.1327	0.0000
50	0.0000	0.1224	0.1293	0.0000
