# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1375 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.7913	0.9985	0.9382	0.8065
2	0.7665	0.9971	0.9098	0.7891
3	0.7425	0.9949	0.8938	0.7738
4	0.7236	0.9913	0.8785	0.7571
5	0.7120	0.9862	0.8698	0.7433
6	0.6989	0.9818	0.8560	0.7287
7	0.6851	0.9775	0.8465	0.7040
8	0.6764	0.9738	0.8356	0.6960
9	0.6647	0.9658	0.8240	0.6815
10	0.6524	0.9585	0.8109	0.6756
11	0.6429	0.9462	0.8007	0.6647
12	0.6313	0.9375	0.7935	0.6560
13	0.6218	0.9324	0.7804	0.6444
14	0.6131	0.9244	0.7680	0.6298
15	0.5956	0.9171	0.7571	0.6175
16	0.5891	0.9105	0.7513	0.6073
17	0.5789	0.9033	0.7425	0.5905
18	0.5593	0.8924	0.7338	0.5818
19	0.5491	0.8815	0.7280	0.5709
20	0.5367	0.8713	0.7222	0.5615
21	0.5273	0.8625	0.7127	0.5513
22	0.5156	0.8524	0.7091	0.5418
23	0.5069	0.8429	0.7047	0.5309
24	0.4931	0.8320	0.6931	0.5273
25	0.4807	0.8240	0.6895	0.5178
26	0.4691	0.8167	0.6829	0.5142
27	0.4575	0.8102	0.6742	0.5033
28	0.4465	0.8000	0.6625	0.4967
29	0.4335	0.7855	0.6531	0.4851
30	0.4218	0.7745	0.6444	0.4764
31	0.4087	0.7636	0.6364	0.4698
32	0.4000	0.7542	0.6298	0.4676
33	0.3876	0.7462	0.6262	0.4589
34	0.3782	0.7353	0.6175	0.4487
35	0.3687	0.7215	0.6124	0.4364
36	0.3527	0.7120	0.6036	0.4240
37	0.3440	0.7025	0.5949	0.4160
38	0.3353	0.6931	0.5876	0.4080
39	0.3251	0.6880	0.5804	0.4015
40	0.3142	0.6749	0.5738	0.3964
41	0.3033	0.6640	0.5680	0.3869
42	0.2945	0.6516	0.5593	0.3796
43	0.2873	0.6436	0.5476	0.3745
44	0.2735	0.6400	0.5382	0.3658
45	0.2640	0.6298	0.5302	0.3556
46	0.2545	0.6225	0.5222	0.3462
47	0.2516	0.6131	0.5135	0.3375
48	0.2444	0.6044	0.5062	0.3236
49	0.2364	0.5956	0.5004	0.3142
50	0.2284	0.5840	0.4902	0.3069
