# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 30456 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0662	0.9971	0.5656	0.0892
2	0.0215	0.9921	0.4153	0.0307
3	0.0124	0.9849	0.3350	0.0183
4	0.0084	0.9751	0.2842	0.0126
5	0.0057	0.9627	0.2497	0.0097
6	0.0044	0.9486	0.2232	0.0077
7	0.0035	0.9336	0.2029	0.0063
8	0.0030	0.9153	0.1863	0.0053
9	0.0027	0.8973	0.1736	0.0046
10	0.0021	0.8771	0.1627	0.0040
11	0.0018	0.8554	0.1522	0.0033
12	0.0016	0.8326	0.1425	0.0031
13	0.0012	0.8110	0.1356	0.0026
14	0.0011	0.7871	0.1285	0.0025
15	0.0010	0.7645	0.1219	0.0024
16	0.0009	0.7406	0.1159	0.0021
17	0.0009	0.7157	0.1109	0.0019
18	0.0008	0.6926	0.1065	0.0018
19	0.0008	0.6711	0.1018	0.0017
20	0.0007	0.6494	0.0975	0.0016
21	0.0006	0.6270	0.0939	0.0015
22	0.0006	0.6035	0.0905	0.0014
23	0.0006	0.5816	0.0875	0.0013
24	0.0006	0.5591	0.0852	0.0013
25	0.0006	0.5371	0.0829	0.0012
26	0.0005	0.5166	0.0806	0.0011
27	0.0005	0.4941	0.0778	0.0011
28	0.0005	0.4748	0.0757	0.0010
29	0.0005	0.4559	0.0732	0.0010
30	0.0005	0.4383	0.0708	0.0009
31	0.0005	0.4208	0.0690	0.0009
32	0.0005	0.4032	0.0672	0.0008
33	0.0005	0.3867	0.0656	0.0008
34	0.0004	0.3698	0.0639	0.0008
35	0.0004	0.3536	0.0622	0.0008
36	0.0004	0.3377	0.0603	0.0008
37	0.0004	0.3220	0.0587	0.0008
38	0.0004	0.3064	0.0574	0.0008
39	0.0004	0.2936	0.0564	0.0008
40	0.0004	0.2802	0.0551	0.0008
41	0.0004	0.2690	0.0538	0.0007
42	0.0004	0.2576	0.0524	0.0007
43	0.0004	0.2463	0.0509	0.0007
44	0.0004	0.2362	0.0494	0.0007
45	0.0004	0.2262	0.0484	0.0007
46	0.0004	0.2166	0.0476	0.0007
47	0.0004	0.2064	0.0464	0.0007
48	0.0004	0.1985	0.0455	0.0006
49	0.0004	0.1896	0.0448	0.0006
50	0.0004	0.1800	0.0441	0.0006
