# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 35532 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.1952	0.9975	0.6270	0.2183
2	0.1506	0.9932	0.4968	0.1656
3	0.1373	0.9870	0.4253	0.1510
4	0.1296	0.9784	0.3793	0.1415
5	0.1241	0.9677	0.3474	0.1351
6	0.1202	0.9553	0.3216	0.1291
7	0.1169	0.9422	0.3016	0.1241
8	0.1141	0.9261	0.2848	0.1196
9	0.1115	0.9103	0.2715	0.1155
10	0.1087	0.8928	0.2599	0.1122
11	0.1058	0.8731	0.2484	0.1093
12	0.1031	0.8529	0.2380	0.1064
13	0.1006	0.8338	0.2291	0.1031
14	0.0981	0.8123	0.2204	0.1005
15	0.0947	0.7921	0.2126	0.0978
16	0.0920	0.7709	0.2058	0.0953
17	0.0895	0.7488	0.1997	0.0929
18	0.0868	0.7275	0.1938	0.0907
19	0.0842	0.7082	0.1879	0.0885
20	0.0818	0.6883	0.1825	0.0860
21	0.0795	0.6682	0.1773	0.0838
22	0.0774	0.6470	0.1722	0.0819
23	0.0755	0.6272	0.1683	0.0805
24	0.0734	0.6063	0.1650	0.0789
25	0.0710	0.5866	0.1616	0.0771
26	0.0690	0.5678	0.1580	0.0754
27	0.0668	0.5473	0.1539	0.0736
28	0.0648	0.5292	0.1506	0.0724
29	0.0628	0.5116	0.1468	0.0705
30	0.0607	0.4955	0.1431	0.0689
31	0.0589	0.4791	0.1400	0.0673
32	0.0570	0.4626	0.1369	0.0662
33	0.0552	0.4466	0.1342	0.0646
34	0.0534	0.4306	0.1311	0.0632
35	0.0518	0.4153	0.1284	0.0616
36	0.0499	0.4000	0.1250	0.0599
37	0.0483	0.3853	0.1225	0.0585
38	0.0466	0.3705	0.1201	0.0574
39	0.0449	0.3578	0.1182	0.0561
40	0.0434	0.3447	0.1157	0.0551
41	0.0418	0.3337	0.1134	0.0538
42	0.0401	0.3221	0.1112	0.0523
43	0.0385	0.3107	0.1082	0.0514
44	0.0365	0.3006	0.1059	0.0503
45	0.0348	0.2902	0.1039	0.0490
46	0.0330	0.2805	0.1019	0.0478
47	0.0320	0.2702	0.0998	0.0464
48	0.0303	0.2621	0.0980	0.0449
49	0.0291	0.2531	0.0964	0.0439
50	0.0279	0.2436	0.0946	0.0429
