# File listing the fraction of multi-nt-all mutations that are found greater than or equal to n times.
# There are 30456 total multi-nt-all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0730	0.9985	0.5418	0.0933
2	0.0252	0.9958	0.4116	0.0340
3	0.0150	0.9912	0.3354	0.0204
4	0.0103	0.9849	0.2859	0.0145
5	0.0075	0.9775	0.2520	0.0114
6	0.0059	0.9693	0.2264	0.0089
7	0.0049	0.9597	0.2061	0.0071
8	0.0039	0.9489	0.1897	0.0062
9	0.0033	0.9364	0.1752	0.0056
10	0.0029	0.9226	0.1633	0.0052
11	0.0026	0.9088	0.1529	0.0043
12	0.0024	0.8946	0.1450	0.0039
13	0.0022	0.8793	0.1374	0.0034
14	0.0019	0.8619	0.1303	0.0032
15	0.0018	0.8453	0.1232	0.0030
16	0.0015	0.8266	0.1174	0.0027
17	0.0014	0.8092	0.1114	0.0026
18	0.0013	0.7911	0.1063	0.0025
19	0.0011	0.7717	0.1024	0.0023
20	0.0009	0.7539	0.0983	0.0021
21	0.0009	0.7350	0.0946	0.0019
22	0.0008	0.7183	0.0909	0.0018
23	0.0008	0.6998	0.0877	0.0017
24	0.0008	0.6819	0.0845	0.0016
25	0.0007	0.6639	0.0816	0.0015
26	0.0006	0.6447	0.0788	0.0015
27	0.0006	0.6276	0.0760	0.0014
28	0.0006	0.6088	0.0740	0.0013
29	0.0006	0.5914	0.0721	0.0013
30	0.0006	0.5740	0.0697	0.0012
31	0.0006	0.5567	0.0677	0.0012
32	0.0006	0.5386	0.0663	0.0011
33	0.0006	0.5225	0.0647	0.0011
34	0.0005	0.5068	0.0627	0.0011
35	0.0005	0.4910	0.0609	0.0011
36	0.0005	0.4744	0.0596	0.0011
37	0.0005	0.4584	0.0581	0.0011
38	0.0005	0.4440	0.0564	0.0010
39	0.0005	0.4304	0.0551	0.0010
40	0.0005	0.4156	0.0540	0.0009
41	0.0005	0.4015	0.0531	0.0009
42	0.0005	0.3881	0.0521	0.0009
43	0.0005	0.3762	0.0512	0.0009
44	0.0005	0.3634	0.0498	0.0009
45	0.0005	0.3518	0.0488	0.0009
46	0.0005	0.3401	0.0479	0.0009
47	0.0005	0.3294	0.0470	0.0009
48	0.0005	0.3179	0.0458	0.0009
49	0.0005	0.3068	0.0449	0.0009
50	0.0004	0.2966	0.0437	0.0008
