# File listing the fraction of multi-nt-syn mutations that are found greater than or equal to n times.
# There are 294 total multi-nt-syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.0680	1.0000	0.7585	0.0850
2	0.0238	0.9932	0.6837	0.0306
3	0.0170	0.9898	0.6156	0.0238
4	0.0136	0.9864	0.5646	0.0204
5	0.0136	0.9796	0.5170	0.0204
6	0.0102	0.9626	0.4898	0.0204
7	0.0102	0.9524	0.4626	0.0170
8	0.0068	0.9354	0.4388	0.0136
9	0.0068	0.9116	0.4116	0.0102
10	0.0068	0.8878	0.3878	0.0102
11	0.0068	0.8776	0.3707	0.0068
12	0.0068	0.8673	0.3673	0.0068
13	0.0068	0.8469	0.3503	0.0068
14	0.0068	0.8299	0.3435	0.0034
15	0.0068	0.7925	0.3265	0.0034
16	0.0068	0.7789	0.3231	0.0034
17	0.0068	0.7483	0.3197	0.0034
18	0.0068	0.7109	0.3061	0.0034
19	0.0034	0.6905	0.3027	0.0034
20	0.0000	0.6667	0.2959	0.0034
21	0.0000	0.6497	0.2789	0.0034
22	0.0000	0.6361	0.2653	0.0034
23	0.0000	0.6088	0.2551	0.0034
24	0.0000	0.5884	0.2483	0.0000
25	0.0000	0.5680	0.2483	0.0000
26	0.0000	0.5476	0.2415	0.0000
27	0.0000	0.5374	0.2415	0.0000
28	0.0000	0.5136	0.2381	0.0000
29	0.0000	0.4932	0.2245	0.0000
30	0.0000	0.4626	0.2211	0.0000
31	0.0000	0.4388	0.2177	0.0000
32	0.0000	0.4320	0.2177	0.0000
33	0.0000	0.4014	0.2075	0.0000
34	0.0000	0.3707	0.1973	0.0000
35	0.0000	0.3605	0.1905	0.0000
36	0.0000	0.3537	0.1871	0.0000
37	0.0000	0.3265	0.1769	0.0000
38	0.0000	0.3197	0.1735	0.0000
39	0.0000	0.3061	0.1735	0.0000
40	0.0000	0.2959	0.1735	0.0000
41	0.0000	0.2857	0.1701	0.0000
42	0.0000	0.2823	0.1701	0.0000
43	0.0000	0.2755	0.1701	0.0000
44	0.0000	0.2619	0.1599	0.0000
45	0.0000	0.2551	0.1565	0.0000
46	0.0000	0.2517	0.1565	0.0000
47	0.0000	0.2415	0.1531	0.0000
48	0.0000	0.2381	0.1463	0.0000
49	0.0000	0.2245	0.1361	0.0000
50	0.0000	0.2143	0.1327	0.0000
