# nread -> total number of read pairs read from the FASTQ files.
nread 25716711
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 584366
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1137460
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 25013
# nattempted -> number of read pairs we attempted to align
nattempted 23994885
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 22047441
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 21746628
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 21623982
