# nread -> total number of read pairs read from the FASTQ files.
nread 24465168
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 2212583
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 2776482
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 2280
# nattempted -> number of read pairs we attempted to align
nattempted 19476103
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 18730749
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 18718078
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 18608761
