# nread -> total number of read pairs read from the FASTQ files.
nread 9941120
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 114092
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 253846
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 27625
# nattempted -> number of read pairs we attempted to align
nattempted 9573182
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 9122756
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 9112896
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 9063459
