# nread -> total number of read pairs read from the FASTQ files.
nread 23704883
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 533973
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1112719
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 18682
# nattempted -> number of read pairs we attempted to align
nattempted 22058191
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 20858350
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 20442207
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 20324480
