# nread -> total number of read pairs read from the FASTQ files.
nread 16816077
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 168460
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 417168
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 16658
# nattempted -> number of read pairs we attempted to align
nattempted 16230449
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 15468999
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 15451932
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 15374017
