# nread -> total number of read pairs read from the FASTQ files.
nread 20495509
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 236168
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 465988
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 57679
# nattempted -> number of read pairs we attempted to align
nattempted 19793353
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 19155225
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 19060123
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 18938805
