# nread -> total number of read pairs read from the FASTQ files.
nread 24350779
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 248533
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 327142
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 7128
# nattempted -> number of read pairs we attempted to align
nattempted 23775104
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 16717317
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 16699189
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 16695886
