# nread -> total number of read pairs read from the FASTQ files.
nread 15634489
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 160872
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 752277
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 37116
# nattempted -> number of read pairs we attempted to align
nattempted 14721340
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 13775053
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 13763190
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 13684629
