# nread -> total number of read pairs read from the FASTQ files.
nread 17219960
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 199009
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 403204
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 48724
# nattempted -> number of read pairs we attempted to align
nattempted 16617747
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 16034880
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 15901810
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 15802779
