# File listing the fraction of syn mutations that are found greater than or equal to n times.
# There are 1375 total syn mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.8065	1.0000	0.9542	0.8204
2	0.7811	0.9985	0.9396	0.7971
3	0.7651	0.9985	0.9280	0.7884
4	0.7520	0.9978	0.9178	0.7855
5	0.7375	0.9971	0.9033	0.7833
6	0.7273	0.9935	0.8945	0.7767
7	0.7178	0.9927	0.8902	0.7716
8	0.7076	0.9927	0.8807	0.7644
9	0.7025	0.9876	0.8720	0.7578
10	0.6916	0.9862	0.8582	0.7505
11	0.6880	0.9840	0.8531	0.7433
12	0.6800	0.9825	0.8465	0.7382
13	0.6720	0.9796	0.8415	0.7316
14	0.6655	0.9760	0.8371	0.7229
15	0.6582	0.9687	0.8298	0.7164
16	0.6524	0.9615	0.8233	0.7076
17	0.6473	0.9593	0.8153	0.7025
18	0.6356	0.9571	0.8087	0.6967
19	0.6291	0.9535	0.8051	0.6902
20	0.6247	0.9527	0.8000	0.6844
21	0.6153	0.9469	0.7971	0.6800
22	0.6065	0.9418	0.7942	0.6691
23	0.5942	0.9360	0.7905	0.6611
24	0.5876	0.9309	0.7818	0.6560
25	0.5753	0.9265	0.7760	0.6538
26	0.5658	0.9207	0.7665	0.6487
27	0.5556	0.9135	0.7622	0.6429
28	0.5513	0.9084	0.7564	0.6349
29	0.5447	0.9047	0.7527	0.6320
30	0.5353	0.9033	0.7498	0.6233
31	0.5287	0.8953	0.7447	0.6189
32	0.5251	0.8902	0.7404	0.6109
33	0.5164	0.8880	0.7382	0.6080
34	0.5127	0.8815	0.7353	0.6015
35	0.5062	0.8764	0.7302	0.5964
36	0.4996	0.8749	0.7251	0.5891
37	0.4938	0.8691	0.7178	0.5876
38	0.4873	0.8582	0.7171	0.5855
39	0.4800	0.8480	0.7127	0.5818
40	0.4727	0.8451	0.7069	0.5767
41	0.4582	0.8378	0.6975	0.5738
42	0.4502	0.8335	0.6931	0.5673
43	0.4429	0.8269	0.6902	0.5651
44	0.4385	0.8204	0.6858	0.5615
45	0.4320	0.8153	0.6829	0.5556
46	0.4218	0.8058	0.6771	0.5498
47	0.4116	0.7985	0.6705	0.5491
48	0.4044	0.7949	0.6662	0.5455
49	0.3949	0.7840	0.6633	0.5425
50	0.3876	0.7775	0.6589	0.5389
