# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 35532 total all mutations
#n	DNA	mutDNA	mutvirus	virus
0	1.0000	1.0000	1.0000	1.0000
1	0.2258	0.9993	0.6225	0.2780
2	0.1687	0.9980	0.5130	0.1969
3	0.1534	0.9962	0.4531	0.1760
4	0.1438	0.9936	0.4131	0.1652
5	0.1375	0.9903	0.3822	0.1581
6	0.1327	0.9866	0.3593	0.1525
7	0.1286	0.9817	0.3406	0.1478
8	0.1249	0.9768	0.3252	0.1439
9	0.1219	0.9708	0.3105	0.1404
10	0.1195	0.9645	0.2981	0.1373
11	0.1175	0.9583	0.2876	0.1343
12	0.1156	0.9513	0.2789	0.1313
13	0.1133	0.9438	0.2707	0.1292
14	0.1112	0.9354	0.2631	0.1274
15	0.1089	0.9265	0.2559	0.1254
16	0.1071	0.9168	0.2492	0.1233
17	0.1050	0.9068	0.2428	0.1214
18	0.1031	0.8974	0.2368	0.1196
19	0.1010	0.8875	0.2309	0.1180
20	0.0991	0.8783	0.2254	0.1162
21	0.0973	0.8682	0.2207	0.1145
22	0.0950	0.8583	0.2163	0.1128
23	0.0930	0.8476	0.2120	0.1109
24	0.0913	0.8370	0.2071	0.1094
25	0.0891	0.8262	0.2027	0.1082
26	0.0874	0.8157	0.1991	0.1065
27	0.0858	0.8046	0.1957	0.1052
28	0.0842	0.7939	0.1922	0.1037
29	0.0829	0.7827	0.1886	0.1023
30	0.0813	0.7725	0.1856	0.1007
31	0.0798	0.7620	0.1827	0.0994
32	0.0786	0.7514	0.1802	0.0978
33	0.0770	0.7414	0.1774	0.0966
34	0.0757	0.7306	0.1746	0.0953
35	0.0742	0.7197	0.1720	0.0941
36	0.0725	0.7091	0.1697	0.0928
37	0.0712	0.6979	0.1671	0.0920
38	0.0698	0.6882	0.1648	0.0908
39	0.0684	0.6779	0.1620	0.0900
40	0.0671	0.6680	0.1600	0.0892
41	0.0656	0.6580	0.1574	0.0883
42	0.0644	0.6475	0.1555	0.0872
43	0.0631	0.6367	0.1529	0.0861
44	0.0622	0.6259	0.1508	0.0854
45	0.0611	0.6154	0.1487	0.0846
46	0.0599	0.6052	0.1466	0.0836
47	0.0587	0.5956	0.1447	0.0827
48	0.0575	0.5862	0.1425	0.0820
49	0.0562	0.5766	0.1409	0.0813
50	0.0552	0.5672	0.1390	0.0804
