#SAMPLE	FRAC_synonymous	FRAC_nonsynonymous	FRAC_stop codon
WT-1 DNA	0.00015313	0.0004127	2.6455E-05
WT-2 DNA	0.00015225	0.00040159	2.5418E-05
N334H-1 DNA	0.00014733	0.00038486	2.195E-05
N334H-2 DNA	0.0001559	0.0004031	2.4473E-05
WT-1 RNA	0.00021264	0.00056245	2.7894E-05
WT-2 RNA	0.00020699	0.0005548	3.0607E-05
N334H-1 RNA	0.00022531	0.0005739	2.5511E-05
N334H-2 RNA	0.00020851	0.00055423	2.7375E-05
WT-1 mutDNA	0.00052076	0.0058816	0.00028036
WT-2 mutDNA	0.00054349	0.0063813	0.00029981
N334H-1 mutDNA	0.00048877	0.0053774	0.00025212
N334H-2 mutDNA	0.00048934	0.0053223	0.00024926
WT-1 virus-p1	0.00021562	0.00056795	3.0761E-05
WT-2 virus-p1	0.00024999	0.00066698	4.5062E-05
N334H-1 virus-p1	0.0002095	0.00054258	2.8532E-05
N334H-2 virus-p1	0.00020233	0.00052425	2.7476E-05
WT-1 mutvirus-p1	0.00044903	0.0033111	6.1353E-05
WT-2 mutvirus-p1	0.00053474	0.0034283	8.5728E-05
N334H-1 mutvirus-p1	0.00038245	0.0034483	4.6299E-05
N334H-2 mutvirus-p1	0.00043865	0.0028589	5.3733E-05
WT-1 virus-p2	0.0002353	0.00072734	4.1864E-05
WT-2 virus-p2	0.00039819	0.00093851	9.7156E-05
N334H-1 virus-p2	0.00021348	0.00055472	2.6411E-05
N334H-2 virus-p2	0.00021745	0.0005541	2.8679E-05
WT-1 mutvirus-p2	0.00046622	0.0036823	7.0952E-05
WT-2 mutvirus-p2	0.00057312	0.0035176	9.2608E-05
N334H-1 mutvirus-p2	0.00039831	0.0033961	4.2046E-05
N334H-2 mutvirus-p2	0.00045333	0.0027894	4.6858E-05
Sanger	0.0004	0.00468	0.00027
