# File listing the fraction of all mutations that are found greater than or equal to n times.
# There are 31374 total all mutations
#n	DNA	RNA	mutDNA	mutvirus-p1	mutvirus-p2	virus-p1	virus-p2
0	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
1	0.2520	0.2821	0.9979	0.8709	0.8043	0.3453	0.3877
2	0.1793	0.2002	0.9969	0.7865	0.6968	0.2333	0.2496
3	0.1633	0.1793	0.9962	0.7207	0.6213	0.2026	0.2095
4	0.1541	0.1687	0.9951	0.6668	0.5670	0.1868	0.1930
5	0.1481	0.1613	0.9940	0.6216	0.5238	0.1776	0.1832
6	0.1434	0.1551	0.9930	0.5847	0.4889	0.1709	0.1755
7	0.1390	0.1503	0.9919	0.5525	0.4588	0.1667	0.1706
8	0.1357	0.1458	0.9910	0.5240	0.4354	0.1631	0.1662
9	0.1328	0.1425	0.9899	0.5005	0.4158	0.1592	0.1626
10	0.1307	0.1400	0.9883	0.4779	0.3969	0.1562	0.1598
11	0.1293	0.1377	0.9864	0.4587	0.3823	0.1538	0.1573
12	0.1277	0.1352	0.9850	0.4391	0.3690	0.1515	0.1549
13	0.1263	0.1334	0.9836	0.4234	0.3570	0.1497	0.1521
14	0.1247	0.1315	0.9818	0.4097	0.3455	0.1478	0.1499
15	0.1232	0.1294	0.9801	0.3968	0.3362	0.1456	0.1477
16	0.1219	0.1277	0.9784	0.3840	0.3262	0.1441	0.1458
17	0.1205	0.1264	0.9771	0.3725	0.3182	0.1425	0.1438
18	0.1195	0.1249	0.9760	0.3627	0.3106	0.1408	0.1421
19	0.1186	0.1234	0.9744	0.3533	0.3042	0.1390	0.1405
20	0.1177	0.1225	0.9732	0.3444	0.2978	0.1377	0.1389
21	0.1168	0.1211	0.9716	0.3366	0.2925	0.1361	0.1374
22	0.1154	0.1196	0.9702	0.3281	0.2873	0.1345	0.1362
23	0.1142	0.1184	0.9684	0.3209	0.2821	0.1333	0.1349
24	0.1132	0.1171	0.9668	0.3148	0.2770	0.1322	0.1333
25	0.1120	0.1155	0.9652	0.3080	0.2718	0.1309	0.1316
26	0.1110	0.1142	0.9632	0.3015	0.2677	0.1300	0.1300
27	0.1096	0.1129	0.9615	0.2963	0.2635	0.1288	0.1285
28	0.1088	0.1115	0.9597	0.2906	0.2596	0.1272	0.1271
29	0.1078	0.1104	0.9576	0.2855	0.2558	0.1260	0.1260
30	0.1066	0.1094	0.9554	0.2797	0.2526	0.1250	0.1246
31	0.1057	0.1079	0.9531	0.2749	0.2490	0.1238	0.1234
32	0.1044	0.1070	0.9507	0.2709	0.2458	0.1226	0.1224
33	0.1035	0.1058	0.9481	0.2666	0.2423	0.1212	0.1212
34	0.1026	0.1049	0.9457	0.2627	0.2395	0.1201	0.1199
35	0.1018	0.1038	0.9433	0.2586	0.2374	0.1191	0.1188
36	0.1008	0.1029	0.9403	0.2553	0.2344	0.1181	0.1178
37	0.1001	0.1022	0.9373	0.2520	0.2319	0.1169	0.1167
38	0.0992	0.1014	0.9338	0.2485	0.2290	0.1159	0.1159
39	0.0986	0.1006	0.9311	0.2455	0.2265	0.1149	0.1150
40	0.0979	0.0996	0.9282	0.2423	0.2238	0.1141	0.1139
41	0.0971	0.0989	0.9252	0.2395	0.2216	0.1132	0.1131
42	0.0964	0.0980	0.9216	0.2362	0.2192	0.1124	0.1123
43	0.0954	0.0972	0.9184	0.2338	0.2171	0.1115	0.1114
44	0.0947	0.0963	0.9148	0.2310	0.2153	0.1106	0.1103
45	0.0938	0.0956	0.9117	0.2275	0.2136	0.1099	0.1096
46	0.0929	0.0951	0.9079	0.2250	0.2118	0.1091	0.1089
47	0.0919	0.0943	0.9039	0.2229	0.2100	0.1083	0.1081
48	0.0912	0.0936	0.9007	0.2204	0.2081	0.1077	0.1075
49	0.0904	0.0928	0.8972	0.2179	0.2061	0.1068	0.1066
50	0.0897	0.0924	0.8938	0.2153	0.2043	0.1059	0.1059
