# nread -> total number of read pairs read from the FASTQ files.
nread 14542595
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 178776
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 723642
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 23958
# nattempted -> number of read pairs we attempted to align
nattempted 13640177
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 12676066
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 12668113
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 12579249
