# nread -> total number of read pairs read from the FASTQ files.
nread 19531886
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 228986
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 917461
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 32232
# nattempted -> number of read pairs we attempted to align
nattempted 18385439
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 17264537
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 17174735
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 17031607
