# nread -> total number of read pairs read from the FASTQ files.
nread 20229948
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 203120
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 455665
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 20452
# nattempted -> number of read pairs we attempted to align
nattempted 19571163
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 18688464
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 18362770
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 18252288
