# nread -> total number of read pairs read from the FASTQ files.
nread 27391537
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 588189
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1167963
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 26739
# nattempted -> number of read pairs we attempted to align
nattempted 25635385
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 23459329
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 23096847
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 22967114
