# nread -> total number of read pairs read from the FASTQ files.
nread 16961448
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 186588
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 798340
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 27666
# nattempted -> number of read pairs we attempted to align
nattempted 15976520
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 14949150
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 14817582
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 14698991
