# nread -> total number of read pairs read from the FASTQ files.
nread 26869065
# nfiltered -> number of read pairs removed by the Illumina filter.
nfiltered 650264
# nlowq -> number of read pairs removed due to low mean Q-score
nlowq 1296243
# nexcessn -> number of read pairs removed due to excess N/n nucleotides
nexcessn 25971
# nattempted -> number of read pairs we attempted to align
nattempted 24922558
# npaired -> number of read pairs where R1 and R2 were successfully
# overlapped
npaired 22703679
# nalignedfullgene -> number of read pairs where the overlapped read
# pairs were successfully aligned to fullgene (the template
# amplicon).
nalignedfullgene 22690464
# nalignedgene -> number of read pairs which overlapped with the
# gene of interest (region of fullgene specified by generange).
nalignedgene 22573068
